"","Provider_Name","Difference","Percent"
"161",2703,-0.000490000000000001,"-2.45%"
"162",2719,0.00408333333333333,"38.09%"
"163",2720,-0.00369714285714286,"-38.85%"
"164",2721,0.000659999999999997,"2.99%"
"165",2723,-0.00824,"-100%"
"166",2725,-0.02064,"-43.09%"
"167",2738,0.01261,"43.86%"
"168",2740,-0.0013525,"-13.71%"
"169",2745,-0.00298,"-52.16%"
"170",2748,-0.00859,"-50.2%"
"171",2760,-0.01224,"-100%"
"172",2766,0.0114,"114.69%"
"173",2767,-0.01001,"-44.29%"
"174",2777,0.01052,"80.86%"
"175",2780,-0.00771,"-28.38%"
"176",2809,-0.000645,"-16.65%"
"177",2816,-0.01549,"-58.93%"
"178",2818,-0.00105,"-5.42%"
"179",2828,0.0121,"304.02%"
"180",2838,0.00433,"73.02%"
"181",2840,-0.00654333333333333,"-39.85%"
"182",2842,-0.00768666666666667,"-58.01%"
"183",2852,0.00539666666666667,"25.69%"
"184",2859,0.00523666666666667,"36.75%"
"185",2860,-0.00305,"-23.24%"
"186",2861,0.00474,"55.31%"
"187",2863,-0.0043,"-16.25%"
"188",2864,-0.01837,"-61.47%"
"189",2886,0.013835,"308.13%"
"190",2889,-0.000520000000000001,"-3.67%"
"191",2891,-7.74999999999994e-05,"-1.72%"
"192",2892,-0.00567,"-58.67%"
"193",2895,-0.000886000000000001,"-5.08%"
"194",2896,-0.01404,"-100%"
"195",2903,-0.00908,"-57.32%"
"196",2904,0.01069,"53.48%"
"197",2905,-0.01786,"-53.55%"
"198",2906,-0.00012,"-4.27%"
"199",2907,0.008235,"101.23%"
"200",2908,0.005555,"74.22%"
"201",2909,-0.02432,"-56.21%"
"202",2914,-0.00490714285714286,"-48.76%"
"203",2915,-0.003455,"-55.86%"
"204",2917,-0.0237233333333333,"-61.64%"
"205",2919,-0.000116666666666666,"-1.68%"
"206",2920,-0.00377,"-40.15%"
"207",3038,-0.015485,"-100%"
"208",3045,-0.00934,"-33.2%"
"209",3051,0.000229999999999994,"0.48%"
"210",3062,-0.01944,"-56.5%"
"211",3079,-0.0138,"-38.35%"
"212",3104,-0.00281,"-14.58%"
"213",3110,-0.00132666666666667,"-6.7%"
"214",3234,0.05007,"366.01%"
"215",3235,-0.02388,"-100%"
"216",3238,-0.00946,"-36.19%"
"217",3244,-0.03004,"-100%"
"218",3246,0.00596333333333333,"9.66%"
"219",3253,-0.02391,"-63.64%"
"220",3301,-0.0199575,"-70.18%"
"221",3303,0.01241,"111.8%"
"222",3431,-0.00819,"-57.69%"
"223",3458,0.00065,"5.29%"
"224",3467,-0.00375,"-22.01%"
"225",3570,0.005035,"31.59%"
"226",3580,0.00855,"50.53%"
"227",3584,8e-04,"5.75%"
"228",3597,0.00883,"62.76%"
"229",3598,-0.00187,"-9.46%"
"230",3743,-0.01389,"-80.87%"
"231",3766,-0.00043,"-3.51%"
"232",3773,0.000490000000000001,"2.61%"
"233",3774,-0.02501,"-100%"
"234",3801,0.00281,"23.34%"
"235",3820,-0.0057525,"-23.85%"
"236",3833,0.00252,"8.12%"
"237",3860,-0.00154,"-9.05%"
"238",3864,-0.00457,"-7.33%"
"239",3867,0.005225,"80.38%"
"240",3894,-0.01303,"-100%"
